[2024-01-08 09:12:45,772 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:16:56,652 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:16:59,659 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:21:30,873 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 09:21:35,745 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:21:38,751 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:21:41,756 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:21:44,760 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:21:47,766 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:21:50,770 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:21:53,773 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:21:56,779 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:21:59,785 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:22:02,789 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:22:05,794 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:23:39,256 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 09:23:44,210 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 09:23:47,503 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 09:23:54,313 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:23:57,318 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:24:00,320 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:24:03,325 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:24:06,329 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:24:09,333 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:24:12,338 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:24:15,343 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:24:18,350 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:24:21,353 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:24:24,358 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:24:27,362 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:24:30,368 (main.py:98 - start())] ERROR -> [Errno 98] Address already in use
[2024-01-08 09:48:05,206 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:05:08,068 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:27:38,291 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:43:32,835 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:44:27,576 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:44:33,066 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:44:35,315 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:46:36,373 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:46:39,219 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:46:42,544 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:49:39,539 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:49:43,338 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:49:45,661 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:49:55,746 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:53:39,163 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:58:25,238 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:58:27,538 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:59:33,173 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:59:34,371 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:59:35,726 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:59:45,839 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:59:50,204 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:59:52,436 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
[2024-01-08 10:59:54,726 (/home/mm/ws/src/dal-server/app/rest_api/__init__.py:214 - inner())] ERROR -> An error occurred: createResponseMessage() missing 1 required positional argument: 'data'
